"Home Images - Manage Home Images","Imagens da Página Inicial - Gerenciar Imagens"
"Image","Imagem"
"Identifier","Identificador"
"Type","Tipo"
"Edit","Editar"
"Add New Image","Adicionar Nova Imagem"
"Home Images - Image","Imagem da Página Inicial - Cadastro"
"Image Information","Informações da Imagem"
"On Mouse Over","Ao passar o mouse"
"Manager Home Images","Gerenciar Imagens"
"[Igorludgero] - Home Images","[Igorludgero] - Imagens da Home"
'Total of %d record(s) were deleted.','%d imagens excluídas.'
"Please select the home images.","Por favor selecione as imagens."
"Homeimages - Image","Homeimages - Imagem"
"Home image don't exist.","Imagem não existe."
"Image saved.","Imagem salva."
"Error saving the image. Check again the fields.","Erro ao salvar a imagem. Verifique os campos preenchidos."
"Invalid Data.","Dados inválidos"
"Image Deleted.","Imagem Excluída."
"Error trying to delete this image.","Erro ao tentar excluir a imagem."
"Invalid data, please re-input the image values.","Dados inválidos, tente novamente."
